windcode:002456.SZ high:39.300000 low:38.000000 close:38.350000 diff:1.121094 dea:0.875914 macd:0.490360 K:62.133601 D:66.185246 J:54.030310 PB1:37.483045 PB2:36.933098 PB6:33.936934 
windcode:600675.SH high:6.800000 low:6.460000 close:6.480000 diff:0.013685 dea:0.159917 macd:-0.292465 K:17.131777 D:17.662971 J:16.069390 PB1:6.930491 PB2:6.972012 PB6:6.916035 
windcode:600519.SH high:446.010000 low:436.200000 close:441.780000 diff:28.681194 dea:24.407048 macd:8.548292 K:88.589537 D:84.861573 J:96.045467 PB1:411.687943 PB2:399.939364 PB6:333.293488 
windcode:002369.SZ high:8.360000 low:8.070000 close:8.070000 diff:-0.685572 dea:-0.518082 macd:-0.334981 K:16.643883 D:18.252904 J:13.425841 PB1:8.708049 PB2:9.010987 PB6:10.387289 
windcode:600966.SH high:4.810000 low:4.660000 close:4.700000 diff:0.241122 dea:0.305241 macd:-0.128238 K:30.138972 D:43.448762 J:3.519391 PB1:4.899463 PB2:4.803099 PB6:4.218221 
windcode:300156.SZ high:33.800000 low:32.600000 close:33.140000 diff:2.026254 dea:2.178379 macd:-0.304251 K:41.697917 D:48.066373 J:28.961006 PB1:32.706385 PB2:32.061396 PB6:26.605076 
windcode:600026.SH high:6.270000 low:6.130000 close:6.140000 diff:-0.164611 dea:-0.034826 macd:-0.259570 K:13.929924 D:19.126989 J:3.535795 PB1:6.614109 PB2:6.720825 PB6:7.083262 
windcode:002230.SZ high:29.940000 low:29.230000 close:29.400000 diff:0.113596 dea:0.544199 macd:-0.861205 K:24.926065 D:33.102834 J:8.572527 PB1:30.770748 PB2:30.865353 PB6:30.993469 
windcode:600130.SH high:5.860000 low:5.500000 close:5.550000 diff:-0.881731 dea:-0.617895 macd:-0.527672 K:6.704263 D:9.439644 J:1.233501 PB1:6.601218 PB2:7.070815 PB6:8.297486 
windcode:002314.SZ high:7.080000 low:6.640000 close:6.650000 diff:-0.311236 dea:-0.193613 macd:-0.235246 K:10.332960 D:19.095506 J:-7.192131 PB1:7.380698 PB2:7.519199 PB6:8.125569 
windcode:603866.SH high:36.180000 low:34.820000 close:35.010000 diff:-1.622579 dea:-0.636581 macd:-1.971997 K:13.073305 D:23.579337 J:-7.938757 PB1:38.807983 PB2:39.923001 PB6:nan 
windcode:603788.SH high:39.550000 low:38.380000 close:38.870000 diff:-0.531191 dea:-0.640351 macd:0.218320 K:52.590555 D:48.300177 J:61.171311 PB1:38.680487 PB2:38.901219 PB6:39.151541 
windcode:600503.SH high:6.360000 low:6.130000 close:6.130000 diff:-0.703707 dea:-0.570950 macd:-0.265513 K:6.115369 D:11.092753 J:-3.839399 PB1:6.854046 PB2:7.134657 PB6:8.703386 
windcode:002700.SZ high:11.720000 low:11.250000 close:11.250000 diff:-0.540770 dea:-0.384661 macd:-0.312218 K:15.639092 D:22.257426 J:2.402423 PB1:12.148938 PB2:12.334460 PB6:13.246055 
windcode:000898.SZ high:5.240000 low:5.110000 close:5.150000 diff:-0.001324 dea:0.121392 macd:-0.245432 K:22.299483 D:19.853712 J:27.191025 PB1:5.323431 PB2:5.375011 PB6:5.075694 
